eae,eap,eaa,ebe,ebp,eba,eoe,eop,eoa,ae,ap,aa,be,bp,ba,oe,op,oa
-0.129268293,-0.221219512,-0.647804878,-0.55547619,-0.110238095,-0.996190476,-0.036428571,0.066904762,-0.515,1.130232558,-0.594883721,0.072325581,-0.976744186,0.40255814,-1.440697674,0.928235294,-0.479294118,0.160235294
0.025348837,0.488837209,1.640697674,-0.265882353,0.027529412,1.475764706,0.477906977,-0.21,0.013023256,1.469534884,1.679302326,1.936046512,-0.832,-0.270823529,1.546823529,1.751428571,1.407142857,1.058571429
1.319058824,1.554352941,2.156235294,0.858823529,1.802823529,2.184470588,-1.084705882,0.763294118,1.506117647,1.469534884,1.679302326,1.936046512,0.819069767,1.566976744,1.98255814,-2.245714286,1.302857143,0.832619048
1.671428571,1.169761905,1.702857143,1.648571429,1.106666667,1.745714286,1.337857143,0.560238095,0.861428571,1.469534884,1.679302326,1.936046512,1.955294118,1.372,1.957411765,1.751428571,1.407142857,1.058571429
0.537831325,0.596626506,-0.011084337,0.464941176,0.430588235,-0.348705882,1.06047619,0.200238095,-0.648095238,1.469534884,1.679302326,1.936046512,-0.543218391,0.11862069,-0.666896552,1.241411765,-0.391058824,-1.331294118
0.452093023,1.416046512,1.643023256,0.040952381,1.395238095,1.539047619,-1.251860465,-0.68255814,0.043488372,1.469534884,1.679302326,1.936046512,-1.542823529,0.792470588,1.620705882,-2.245714286,1.302857143,0.832619048
0.505783133,0.93253012,1.672048193,0.087727273,0.758181818,1.386363636,-0.297674419,-0.038837209,1.178837209,1.469534884,1.679302326,1.936046512,1.629302326,1.107674419,1.600465116,-1.378588235,0.828235294,2.192941176
0.276470588,0.580941176,-0.491294118,-0.251764706,0.576,-0.560235294,0.305647059,-0.073411765,-0.095058824,1.469534884,1.679302326,1.936046512,-0.976744186,0.40255814,-1.440697674,1.751428571,1.407142857,1.058571429
1.267209302,0.024186047,-0.243023256,1.40452381,0.580714286,-0.043809524,1.84744186,2.005813953,1.468604651,1.469534884,1.679302326,1.936046512,-0.048837209,0.490930233,-1.228604651,2.002142857,2.367142857,1.882857143
-0.248235294,-0.740470588,1.418823529,-0.783571429,-0.833809524,1.68547619,1.014482759,1.040229885,-0.205517241,0.674352941,-1.096,-0.135529412,-0.832,-0.270823529,1.546823529,2.002142857,2.367142857,1.882857143
1.483764706,-0.759764706,-0.316705882,1.699761905,0.435952381,-0.016904762,1.446363636,2.1,0.990909091,0.674352941,-1.096,-0.135529412,0.820232558,-0.548604651,-0.831162791,2.002142857,2.367142857,1.882857143
1.130344828,-0.91908046,-0.409655172,1.336511628,-0.071395349,-0.698372093,1.531058824,1.763764706,-0.110117647,-1.684470588,-0.045176471,1.961647059,0.820232558,-0.548604651,-0.831162791,1.241411765,-0.391058824,-1.331294118
-0.736190476,-0.220714286,-0.180714286,-1.025116279,-0.227906977,-0.730697674,-0.71060241,0.037831325,0.297831325,-1.684470588,-0.045176471,1.961647059,-0.976744186,0.40255814,-1.440697674,-1.253647059,0.537882353,2.025176471
-1.029761905,-0.417142857,-0.304047619,-1.174186047,-0.223023256,-0.912325581,0.39,-0.261428571,-1.201428571,-1.684470588,-0.045176471,1.961647059,-0.976744186,0.40255814,-1.440697674,1.241411765,-0.391058824,-1.331294118
-1.032790698,1.37,-0.223023256,-0.719761905,1.142857143,-0.522619048,0.519529412,-1.421411765,-0.255529412,-2.45,1.596590909,1.797272727,-1.213023256,1.135813953,-1.259534884,1.15954023,-0.449425287,1.814252874
-2.628941176,2.024941176,1.879529412,-2.876666667,1.845238095,1.872380952,0.111566265,-1.989879518,-0.685783133,-2.45,1.596590909,1.797272727,-1.746190476,1.206428571,1.555714286,1.843294118,-1.018117647,1.782588235
-0.245176471,0.625411765,1.425882353,-0.770823529,0.337647059,1.657176471,-0.344819277,0.149879518,0.634698795,2.002142857,2.367142857,1.882857143,-0.904470588,-0.168235294,1.701176471,-1.253647059,0.537882353,2.025176471
-1.287380952,0.37547619,2.051904762,-1.467951807,0.485783133,1.921445783,0.340454545,-0.653863636,-0.083409091,-0.464,-0.054117647,2.309882353,-1.542823529,0.792470588,1.620705882,1.751428571,1.407142857,1.058571429
0.058795181,0.415180723,1.95253012,0.08939759,0.38313253,1.997349398,-0.026117647,0.390588235,1.166588235,-0.464,-0.054117647,2.309882353,1.629302326,1.107674419,1.600465116,-1.253647059,0.537882353,2.025176471
1.560238095,0.767380952,-0.141428571,1.820952381,0.961190476,-0.805,-0.777317073,-1.425365854,-1.490487805,1.843294118,-1.018117647,1.782588235,2.51547619,1.933809524,-0.910238095,-2.351058824,-1.021882353,-1.359294118
-1.22775,0.68725,1.193,-1.468947368,0.737368421,1.146578947,-0.96974359,-1.812820513,-1.126923077,1.843294118,-1.018117647,1.782588235,-2.171358025,0.525432099,0.678271605,-0.178352941,-1.662588235,-1.200470588
1.580465116,-0.160465116,1.715813953,1.639058824,0.733176471,1.816470588,-1.960470588,0.652705882,0.941411765,1.843294118,-1.018117647,1.782588235,0.767764706,0.968,1.317176471,-2.45,1.596590909,1.797272727
0.5,0.275662651,1.48626506,0.077011494,0.287816092,1.323678161,0.134712644,-0.624367816,-0.107126437,1.843294118,-1.018117647,1.782588235,0.813414634,0.655121951,1.573658537,-0.178352941,-1.662588235,-1.200470588
