"pnum","age","female","ethnic","cauc","afamer","amerind","hawaii","asian","nonnative","year","marstat","momeduc","dadeduc","momjob","dadjob","ownhome","ownhome2","ownbus","spg1a1","spg1a2","spg1b","spg2a1","spg2a2","spg2b","spg3a1","spg3a2","spg3b","spg4a1","spg4a2","spg4b","spg5a1","spg5a2","spg5b","spg6a1","spg6a2","spg6b","spg7a1","spg7a2","spg7b","spg8a1","spg8a2","spg8b","spg9a1","spg9a2","spg9b","spg10a1","spg10a2","spg10b","spg11a1","spg11a2","spg11b","spg12a1","spg12a2","spg12b","spg13a1","spg13a2","spg13b","spg14a1","spg14a2","spg14b","spg15a1","spg15a2","spg15b","spg16a1","spg16a2","spg16b","spg17a1","spg17a2","spg17b","spg18a1","spg18a2","spg18b","spg19a1","spg19a2","spg19b","spg20a1","spg20a2","spg20b","spg21a1","spg21a2","spg21b","spg22a1","spg22a2","spg22b","spg23a1","spg23a2","spg23b","spg24a1","spg24a2","spg24b","spg25a1","spg25a2","spg25b","spg26a1","spg26a2","spg26b","spg27a1","spg27a2","spg27b","spg28a1","spg28a2","spg28b","spg29a1","spg29a2","spg29b","spg30a1","spg30a2","spg30b","spg31a1","spg31a2","spg31b","spg32a1","spg32a2","spg32b","spg33a1","spg33a2","spg33b","spg34a1","spg34a2","spg34b","spg35a1","spg35a2","spg35b","spg36a1","spg36a2","spg36b","upg1a1","upg1a2","upg1b","upg1c","upg1c1","upg1c2","upg2a1","upg2a2","upg2b","upg2c","upg2c1","upg2c2","upg3a1","upg3a2","upg3b","upg3c","upg3c1","upg3c2","upg4a1","upg4a2","upg4b","upg4c","upg4c1","upg4c2","upg5a1","upg5a2","upg5b","upg5c","upg5c1","upg5c2","upg6a1","upg6a2","upg6b","upg6c","upg6c1","upg6c2","upg7a1","upg7a2","upg7b","upg7c","upg7c1","upg7c2","upg8a1","upg8a2","upg8b","upg8c","upg8c1","upg8c2","upg9a1","upg9a2","upg9b","upg9c","upg9c1","upg9c2","upg10a1","upg10a2","upg10b","upg10c","upg10c1","upg10c2","upg11a1","upg11a2","upg11b","upg11c","upg11c1","upg11c2","upg12a1","upg12a2","upg12b","upg12c","upg12c1","upg12c2","upg13a1","upg13a2","upg13b","upg13c","upg13c1","upg13c2","upg14a1","upg14a2","upg14b","upg14c","upg14c1","upg14c2","upg15a1","upg15a2","upg15b","upg15c","upg15c1","upg15c2","upg16a1","upg16a2","upg16b","upg16c","upg16c1","upg16c2","dupg12a1","dupg12a2","dupg12b","dupg12c","dupg12c1","dupg12c2","dupg13a1","dupg13a2","dupg13b","dupg13c","dupg13c1","dupg13c2","dupg14a1","dupg14a2","dupg14b","dupg14c","dupg14c1","dupg14c2","suppnq1","suppnq2","suppnq3","nqfrat","nqrelig","nqcult","nqserv","nqsgov","nqnews","nqathim","nqathcoll","nqsliv","nqcrart","nqathsup","nqacad","nqrotc","skipped","edited","minutes","multrace","duke","pcis_pos","pcis_pun","pcis_ineff","ecrs_rejanx","ecrs_intav","spgmax","countmax","closemax","upgmax","ucountmax","uclosemax","spgcount","spgcountsum","spgclosesum","upgcount","upgcountsum","upgclosesum","inculcation_E","commonality_E","inculcation_P","commonality_P","inculcation_A","commonality_A","race_cat"
1,20,0,0,0,1,0,0,0,0,3,2,4,3,1,1,0,0,0,1,2,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,1,0,0,NA,1,5,4,0,0,NA,0,0,NA,1,1,1,0,0,NA,1,100,50,1,1,1,1,4,3,1,2,2,1,1,1,1,3,2,0,0,NA,0,0,NA,NA,NA,NA,1,1,1,1,1,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,0,2,NA,8,1,8,1,1,2,NA,1,50,40,1,4,NA,1,20,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,19,0,0,11,18,8,24,20,0,0,0,54.3,1,1,0,0,NA,2,4,1,1.00430808892201,0.810957211699004,0.960805122950631,0.67286300683684,1.07664853734039,0.65004032283023,"afamer"
2,19,1,0,0,1,0,0,0,0,2,2,3,2,4,1,0,0,0,1,1,0,1,1,1,0,0,NA,0,0,NA,0,0,NA,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,1,0,1,1,1,1,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,5,1,0,0,NA,1,1,1,1,2,1,0,0,NA,1,30,2,0,0,NA,0,0,NA,1,3,3,1,3,0,1,1,1,0,0,NA,0,0,NA,NA,NA,NA,1,1,0,2,NA,5,1,1,0,2,NA,5,1,1,1,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,3,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,1,5,5,2,NA,1,1,6,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,11,15,33,17,60,1,1,58.3,1,0,8,9,7,4,4,2,1.2125312101397,0.817873181769761,0.902915534251313,0.482367737622994,1.05053250687624,0.638941989689109,"afamer"
3,20,1,0,0,1,0,0,0,0,2,2,2,2,3,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,1,3,2,0,0,NA,1,100,40,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,1,1,1,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,1,1,1,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,20,10,2,NA,7,1,40,30,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,12,0,0,16,14,6,19,19,32,2,2,58.3,1,1,1,2,2,2,2,2,1.15425917566217,0.862554405027111,0.655914161844075,0.457982596019479,0.469672690030558,0.341301492680174,"afamer"
5,21,0,0,0,1,0,0,0,0,3,2,3,2,1,4,0,0,0,1,15,3,0,0,NA,0,0,NA,0,0,NA,1,3,1,1,2,2,0,0,NA,1,5,3,0,0,NA,0,0,NA,0,0,NA,1,2,1,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,2,0,0,NA,0,0,NA,1,4,3,1,3,3,1,15,5,1,9,4,1,1,0,1,300,127,1,5,2,0,0,NA,1,5,2,1,2,1,1,7,3,1,6,5,0,0,NA,NA,NA,NA,1,1,1,1,3,NA,0,0,NA,NA,NA,NA,1,2,1,2,NA,7,1,2,2,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,5,2,1,3,NA,1,3,2,1,1,NA,0,0,NA,NA,NA,NA,1,115,30,1,3,NA,1,100,30,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,18,0,0,14,12,13,16,17,73,3,1,70.9,2,2,6,16,10,5,13,8,0.981590785212098,0.736720269300133,0.910082874814094,0.470524488197563,0.599427072628787,0.306005497428079,"afamer"
6,20,0,0,0,1,0,0,0,0,3,3,5,2,1,4,1,0,0,1,5,5,0,0,NA,0,0,NA,1,2,2,1,19,2,0,0,NA,0,0,NA,1,3,3,0,0,NA,0,0,NA,0,0,NA,1,6,6,1,1,1,1,3,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,0,1,25,22,0,0,NA,1,2,2,1,600,25,1,50,6,1,10,2,1,3,3,0,0,NA,1,30,30,1,1,1,1,0,0,2,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,1,4,2,2,NA,2,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,5,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,NA,1,20,15,1,3,NA,1,9,3,1,3,NA,1,3,3,1,3,NA,1,600,100,1,2,NA,1,700,45,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,1,0,0,0,0,0,1,1,0,0,0,0,0,6,0,22,0,0,14,15,12,25,23,73,19,2,76.8,4,2,6,34,17,6,39,22,1.19273875180951,0.731721351137026,1.32020638879507,0.628378984198702,0.703077173646756,0.299053917604787,"afamer"
7,23,0,0,0,1,0,0,0,0,4,5,2,2,1,2,1,0,0,1,50,30,1,1,1,1,1,1,0,0,NA,1,4,2,0,0,NA,0,0,NA,1,3,1,0,0,NA,1,1,1,1,1,1,1,2,1,0,0,NA,1,1,1,1,4,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,5,2,0,0,NA,0,0,NA,1,25,18,0,0,NA,1,100,80,1,25,14,1,6,1,1,1,1,1,1,1,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,1,3,1,1,2,NA,1,2,1,1,3,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,2,1,2,NA,1,10,5,1,3,NA,1,6,5,1,2,NA,1,30,25,1,3,NA,1,50,25,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,15,17,10,27,27,73,4,2,58.3,2,1,9,18,11,5,20,10,1.19987844056333,0.90802682289349,1.10930775249704,0.733230757848321,0.989964394651688,0.59341666631421,"afamer"
8,19,1,0,0,1,0,0,0,0,2,1,2,3,1,1,1,1,1,1,5,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,29,5,1,1,0,1,3,0,1,3,0,1,7,0,1,15,3,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,0,2,NA,6,0,0,NA,NA,NA,NA,1,15,2,1,2,NA,1,9,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,13,22,7,24,23,0,0,0,47,3,0,0,0,NA,1,3,0,1.13033399064142,0.836878304051506,1.18950199270256,0.638274911149371,1.26648402254052,0.651569971783639,"afamer"
9,20,1,0,0,1,0,0,0,0,3,5,3,2,1,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,3,1,2,1,2,NA,2,0,0,NA,NA,NA,NA,1,30,10,1,3,NA,1,60,40,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,19,12,11,28,18,30,1,3,47,2,1,1,1,3,2,3,2,0.939610738721847,0.7395875106896,1.08253547433189,0.504536460230824,0.787830436293339,0.435910782770722,"afamer"
10,19,1,0,0,1,0,0,0,0,2,2,3,3,5,1,0,0,0,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,1,40,20,0,0,NA,1,1000,500,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,2,NA,6,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,2,1,18,NA,1,2,2,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,20,13,7,32,20,0,0,0,51.3,1,1,0,0,NA,1,1,1,1.15483995325173,0.78977525513191,0.437345721913393,0.251421354530139,0.729784090177106,0.363754443204389,"afamer"
11,21,0,0,0,1,0,0,0,0,3,1,2,2,5,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,5,3,1,3,NA,1,1,1,1,2,NA,0,0,NA,NA,NA,NA,1,100,5,1,3,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,13,25,16,24,27,0,0,0,47,1,1,0,0,NA,2,6,4,0.381602469725916,0.269326077658919,0.597536845831009,0.313779638783328,0.287086185428931,0.123742401641008,"afamer"
