Variable Name,Original Order,Event Wording,Actor,A#,Behavior,B#,Object,O#,Impression (I) or Sentiment (S)?,Event Number,A/B/O/I Rated?,E/P/A Rated?
e1be,25,applicant_STARING_AT_interviewee_IB1E,applicant,i37,staring at,b31,interviewee,i3,i,1,b,e
e1bp,26,applicant_STARING_AT_interviewee_IB2P,applicant,i37,staring at,b31,interviewee,i3,i,1,b,p
e1ba,27,applicant_STARING_AT_interviewee_IB3A,applicant,i37,staring at,b31,interviewee,i3,i,1,b,a
e1oe,247,applicant_staring_at_INTERVIEWEE_IO1E,applicant,i37,staring at,b31,interviewee,i3,i,1,o,e
e1op,248,applicant_staring_at_INTERVIEWEE_IO2P,applicant,i37,staring at,b31,interviewee,i3,i,1,o,p
e1oa,249,applicant_staring_at_INTERVIEWEE_IO3A,applicant,i37,staring at,b31,interviewee,i3,i,1,o,a
e1ae,1576,APPLICANT_staring_at_interviewee_IA1E,applicant,i37,staring at,b31,interviewee,i3,i,1,a,e
e1ap,1577,APPLICANT_staring_at_interviewee_IA2P,applicant,i37,staring at,b31,interviewee,i3,i,1,a,p
e1aa,1578,APPLICANT_staring_at_interviewee_IA3A,applicant,i37,staring at,b31,interviewee,i3,i,1,a,a
e2oe,22,athlete_babbling_to_TEAMMATE_IO1E,athlete,i1,babbling to,b36,teammate,i19,i,2,o,e
e2op,23,athlete_babbling_to_TEAMMATE_IO2P,athlete,i1,babbling to,b36,teammate,i19,i,2,o,p
e2oa,24,athlete_babbling_to_TEAMMATE_IO3A,athlete,i1,babbling to,b36,teammate,i19,i,2,o,a
e2ae,1351,ATHLETE_babbling_to_teammate_IA1E,athlete,i1,babbling to,b36,teammate,i19,i,2,a,e
e2ap,1352,ATHLETE_babbling_to_teammate_IA2P,athlete,i1,babbling to,b36,teammate,i19,i,2,a,p
e2aa,1353,ATHLETE_babbling_to_teammate_IA3A,athlete,i1,babbling to,b36,teammate,i19,i,2,a,a
e2be,1573,athlete_BABBLING_TO_teammate_IB1E,athlete,i1,babbling to,b36,teammate,i19,i,2,b,e
e2bp,1574,athlete_BABBLING_TO_teammate_IB2P,athlete,i1,babbling to,b36,teammate,i19,i,2,b,p
e2ba,1575,athlete_BABBLING_TO_teammate_IB3A,athlete,i1,babbling to,b36,teammate,i19,i,2,b,a
e3ae,10,ATHLETE_competing_with_enemy_IA1E,athlete,i1,competing with,b28,enemy,i22,i,3,a,e
e3ap,11,ATHLETE_competing_with_enemy_IA2P,athlete,i1,competing with,b28,enemy,i22,i,3,a,p
e3aa,12,ATHLETE_competing_with_enemy_IA3A,athlete,i1,competing with,b28,enemy,i22,i,3,a,a
e3be,232,athlete_COMPETING_WITH_enemy_IB1E,athlete,i1,competing with,b28,enemy,i22,i,3,b,e
e3bp,233,athlete_COMPETING_WITH_enemy_IB2P,athlete,i1,competing with,b28,enemy,i22,i,3,b,p
e3ba,234,athlete_COMPETING_WITH_enemy_IB3A,athlete,i1,competing with,b28,enemy,i22,i,3,b,a
e3oe,454,athlete_competing_with_ENEMY_IO1E,athlete,i1,competing with,b28,enemy,i22,i,3,o,e
e3op,455,athlete_competing_with_ENEMY_IO2P,athlete,i1,competing with,b28,enemy,i22,i,3,o,p
e3oa,456,athlete_competing_with_ENEMY_IO3A,athlete,i1,competing with,b28,enemy,i22,i,3,o,a
e4ae,1,ATHLETE_entertaining_teammate_IA1E,athlete,i1,entertaining,b33,teammate,i19,i,4,a,e
e4ap,2,ATHLETE_entertaining_teammate_IA2P,athlete,i1,entertaining,b33,teammate,i19,i,4,a,p
e4aa,3,ATHLETE_entertaining_teammate_IA3A,athlete,i1,entertaining,b33,teammate,i19,i,4,a,a
e4be,223,athlete_ENTERTAINING_teammate_IB1E,athlete,i1,entertaining,b33,teammate,i19,i,4,b,e
e4bp,224,athlete_ENTERTAINING_teammate_IB2P,athlete,i1,entertaining,b33,teammate,i19,i,4,b,p
e4ba,225,athlete_ENTERTAINING_teammate_IB3A,athlete,i1,entertaining,b33,teammate,i19,i,4,b,a
e4oe,445,athlete_entertaining_TEAMMATE_IO1E,athlete,i1,entertaining,b33,teammate,i19,i,4,o,e
e4op,446,athlete_entertaining_TEAMMATE_IO2P,athlete,i1,entertaining,b33,teammate,i19,i,4,o,p
e4oa,447,athlete_entertaining_TEAMMATE_IO3A,athlete,i1,entertaining,b33,teammate,i19,i,4,o,a
e5ae,226,ATHLETE_following_old_timer_IA1E,athlete,i1,following,b24,old timer,i9,i,5,a,e
e5ap,227,ATHLETE_following_old_timer_IA2P,athlete,i1,following,b24,old timer,i9,i,5,a,p
e5aa,228,ATHLETE_following_old_timer_IA3A,athlete,i1,following,b24,old timer,i9,i,5,a,a
e5be,448,athlete_FOLLOWING_old_timer_IB1E,athlete,i1,following,b24,old timer,i9,i,5,b,e
e5bp,449,athlete_FOLLOWING_old_timer_IB2P,athlete,i1,following,b24,old timer,i9,i,5,b,p
e5ba,450,athlete_FOLLOWING_old_timer_IB3A,athlete,i1,following,b24,old timer,i9,i,5,b,a
e5oe,670,athlete_following_OLD_TIMER_IO1E,athlete,i1,following,b24,old timer,i9,i,5,o,e
e5op,671,athlete_following_OLD_TIMER_IO2P,athlete,i1,following,b24,old timer,i9,i,5,o,p
e5oa,672,athlete_following_OLD_TIMER_IO3A,athlete,i1,following,b24,old timer,i9,i,5,o,a
e6oe,31,athlete_interrupting_ENEMY_IO1E,athlete,i1,interrupting,b13,enemy,i22,i,6,o,e
e6op,32,athlete_interrupting_ENEMY_IO2P,athlete,i1,interrupting,b13,enemy,i22,i,6,o,p
e6oa,33,athlete_interrupting_ENEMY_IO3A,athlete,i1,interrupting,b13,enemy,i22,i,6,o,a
e6ae,1360,ATHLETE_interrupting_enemy_IA1E,athlete,i1,interrupting,b13,enemy,i22,i,6,a,e
e6ap,1361,ATHLETE_interrupting_enemy_IA2P,athlete,i1,interrupting,b13,enemy,i22,i,6,a,p
e6aa,1362,ATHLETE_interrupting_enemy_IA3A,athlete,i1,interrupting,b13,enemy,i22,i,6,a,a
e6be,1582,athlete_INTERRUPTING_enemy_IB1E,athlete,i1,interrupting,b13,enemy,i22,i,6,b,e
e6bp,1583,athlete_INTERRUPTING_enemy_IB2P,athlete,i1,interrupting,b13,enemy,i22,i,6,b,p
e6ba,1584,athlete_INTERRUPTING_enemy_IB3A,athlete,i1,interrupting,b13,enemy,i22,i,6,b,a
e7ae,676,ATHLETE_joking_with_hothead_IA1E,athlete,i1,joking with,b1,hothead,i17,i,7,a,e
e7ap,677,ATHLETE_joking_with_hothead_IA2P,athlete,i1,joking with,b1,hothead,i17,i,7,a,p
e7aa,678,ATHLETE_joking_with_hothead_IA3A,athlete,i1,joking with,b1,hothead,i17,i,7,a,a
e7be,898,athlete_JOKING_WITH_hothead_IB1E,athlete,i1,joking with,b1,hothead,i17,i,7,b,e
e7bp,899,athlete_JOKING_WITH_hothead_IB2P,athlete,i1,joking with,b1,hothead,i17,i,7,b,p
e7ba,900,athlete_JOKING_WITH_hothead_IB3A,athlete,i1,joking with,b1,hothead,i17,i,7,b,a
e7oe,1120,athlete_joking_with_HOTHEAD_IO1E,athlete,i1,joking with,b1,hothead,i17,i,7,o,e
e7op,1121,athlete_joking_with_HOTHEAD_IO2P,athlete,i1,joking with,b1,hothead,i17,i,7,o,p
e7oa,1122,athlete_joking_with_HOTHEAD_IO3A,athlete,i1,joking with,b1,hothead,i17,i,7,o,a
e8ae,19,ATHLETE_staring_at_teammate_IA1E,athlete,i1,staring at,b31,teammate,i19,i,8,a,e
e8ap,20,ATHLETE_staring_at_teammate_IA2P,athlete,i1,staring at,b31,teammate,i19,i,8,a,p
e8aa,21,ATHLETE_staring_at_teammate_IA3A,athlete,i1,staring at,b31,teammate,i19,i,8,a,a
e8be,241,athlete_STARING_AT_teammate_IB1E,athlete,i1,staring at,b31,teammate,i19,i,8,b,e
e8bp,242,athlete_STARING_AT_teammate_IB2P,athlete,i1,staring at,b31,teammate,i19,i,8,b,p
e8ba,243,athlete_STARING_AT_teammate_IB3A,athlete,i1,staring at,b31,teammate,i19,i,8,b,a
e8oe,463,athlete_staring_at_TEAMMATE_IO1E,athlete,i1,staring at,b31,teammate,i19,i,8,o,e
e8op,464,athlete_staring_at_TEAMMATE_IO2P,athlete,i1,staring at,b31,teammate,i19,i,8,o,p
e8oa,465,athlete_staring_at_TEAMMATE_IO3A,athlete,i1,staring at,b31,teammate,i19,i,8,o,a
e9oe,4,athlete_watching_CHAMPION_IO1E,athlete,i1,watching,b3,champion,i24,i,9,o,e
e9op,5,athlete_watching_CHAMPION_IO2P,athlete,i1,watching,b3,champion,i24,i,9,o,p
e9oa,6,athlete_watching_CHAMPION_IO3A,athlete,i1,watching,b3,champion,i24,i,9,o,a
e9ae,1333,ATHLETE_watching_champion_IA1E,athlete,i1,watching,b3,champion,i24,i,9,a,e
e9ap,1334,ATHLETE_watching_champion_IA2P,athlete,i1,watching,b3,champion,i24,i,9,a,p
e9aa,1335,ATHLETE_watching_champion_IA3A,athlete,i1,watching,b3,champion,i24,i,9,a,a
e9be,1555,athlete_WATCHING_champion_IB1E,athlete,i1,watching,b3,champion,i24,i,9,b,e
e9bp,1556,athlete_WATCHING_champion_IB2P,athlete,i1,watching,b3,champion,i24,i,9,b,p
e9ba,1557,athlete_WATCHING_champion_IB3A,athlete,i1,watching,b3,champion,i24,i,9,b,a
e10ae,469,BEGINNER_babbling_to_champion_IA1E,beginner,i18,babbling to,b36,champion,i24,i,10,a,e
e10ap,470,BEGINNER_babbling_to_champion_IA2P,beginner,i18,babbling to,b36,champion,i24,i,10,a,p
e10aa,471,BEGINNER_babbling_to_champion_IA3A,beginner,i18,babbling to,b36,champion,i24,i,10,a,a
e10be,691,beginner_BABBLING_TO_champion_IB1E,beginner,i18,babbling to,b36,champion,i24,i,10,b,e
e10bp,692,beginner_BABBLING_TO_champion_IB2P,beginner,i18,babbling to,b36,champion,i24,i,10,b,p
e10ba,693,beginner_BABBLING_TO_champion_IB3A,beginner,i18,babbling to,b36,champion,i24,i,10,b,a
e10oe,913,beginner_babbling_to_CHAMPION_IO1E,beginner,i18,babbling to,b36,champion,i24,i,10,o,e
e10op,914,beginner_babbling_to_CHAMPION_IO2P,beginner,i18,babbling to,b36,champion,i24,i,10,o,p
e10oa,915,beginner_babbling_to_CHAMPION_IO3A,beginner,i18,babbling to,b36,champion,i24,i,10,o,a
e11ae,451,BEGINNER_obeying_champion_IA1E,beginner,i18,obeying,b30,champion,i24,i,11,a,e
e11ap,452,BEGINNER_obeying_champion_IA2P,beginner,i18,obeying,b30,champion,i24,i,11,a,p
e11aa,453,BEGINNER_obeying_champion_IA3A,beginner,i18,obeying,b30,champion,i24,i,11,a,a
e11be,673,beginner_OBEYING_champion_IB1E,beginner,i18,obeying,b30,champion,i24,i,11,b,e
e11bp,674,beginner_OBEYING_champion_IB2P,beginner,i18,obeying,b30,champion,i24,i,11,b,p
e11ba,675,beginner_OBEYING_champion_IB3A,beginner,i18,obeying,b30,champion,i24,i,11,b,a
e11oe,895,beginner_obeying_CHAMPION_IO1E,beginner,i18,obeying,b30,champion,i24,i,11,o,e
e11op,896,beginner_obeying_CHAMPION_IO2P,beginner,i18,obeying,b30,champion,i24,i,11,o,p
e11oa,897,beginner_obeying_CHAMPION_IO3A,beginner,i18,obeying,b30,champion,i24,i,11,o,a
e12ae,1153,BRAT_obeying_old_timer_IA1E,brat,i45,obeying,b30,old timer,i9,i,12,a,e
e12ap,1154,BRAT_obeying_old_timer_IA2P,brat,i45,obeying,b30,old timer,i9,i,12,a,p
e12aa,1155,BRAT_obeying_old_timer_IA3A,brat,i45,obeying,b30,old timer,i9,i,12,a,a
e12be,1375,brat_OBEYING_old_timer_IB1E,brat,i45,obeying,b30,old timer,i9,i,12,b,e
e12bp,1376,brat_OBEYING_old_timer_IB2P,brat,i45,obeying,b30,old timer,i9,i,12,b,p
e12ba,1377,brat_OBEYING_old_timer_IB3A,brat,i45,obeying,b30,old timer,i9,i,12,b,a
e12oe,1597,brat_obeying_OLD_TIMER_IO1E,brat,i45,obeying,b30,old timer,i9,i,12,o,e
e12op,1598,brat_obeying_OLD_TIMER_IO2P,brat,i45,obeying,b30,old timer,i9,i,12,o,p
e12oa,1599,brat_obeying_OLD_TIMER_IO3A,brat,i45,obeying,b30,old timer,i9,i,12,o,a
e13be,70,brat_STARING_AT_gossip_IB1E,brat,i45,staring at,b31,gossip,i11,i,13,b,e
e13bp,71,brat_STARING_AT_gossip_IB2P,brat,i45,staring at,b31,gossip,i11,i,13,b,p
e13ba,72,brat_STARING_AT_gossip_IB3A,brat,i45,staring at,b31,gossip,i11,i,13,b,a
e13oe,292,brat_staring_at_GOSSIP_IO1E,brat,i45,staring at,b31,gossip,i11,i,13,o,e
e13op,293,brat_staring_at_GOSSIP_IO2P,brat,i45,staring at,b31,gossip,i11,i,13,o,p
e13oa,294,brat_staring_at_GOSSIP_IO3A,brat,i45,staring at,b31,gossip,i11,i,13,o,a
e13ae,1621,BRAT_staring_at_gossip_IA1E,brat,i45,staring at,b31,gossip,i11,i,13,a,e
e13ap,1622,BRAT_staring_at_gossip_IA2P,brat,i45,staring at,b31,gossip,i11,i,13,a,p
