Variable Name,Original Order,Event Wording,Impression (I) or Sentiment (S)?,A/B/O/I Rated?,Concept Number,E/P/A Rated?
b1e,199,joking_with_SB1E,s,b,1,e
b1p,200,joking_with_SB2P,s,b,1,p
b1a,201,joking_with_SB3A,s,b,1,a
b2e,202,chatting_up_SB1E,s,b,2,e
b2p,203,chatting_up_SB2P,s,b,2,p
b2a,204,chatting_up_SB3A,s,b,2,a
b3e,205,watching_SB1E,s,b,3,e
b3p,206,watching_SB2P,s,b,3,p
b3a,207,watching_SB3A,s,b,3,a
b4e,208,blabbering_to_SB1E,s,b,4,e
b4p,209,blabbering_to_SB2P,s,b,4,p
b4a,210,blabbering_to_SB3A,s,b,4,a
b5e,211,submitting_to_SB1E,s,b,5,e
b5p,212,submitting_to_SB2P,s,b,5,p
b5a,213,submitting_to_SB3A,s,b,5,a
b6e,421,laughing_with_SB1E,s,b,6,e
b6p,422,laughing_with_SB2P,s,b,6,p
b6a,423,laughing_with_SB3A,s,b,6,a
b7e,424,escaping_SB1E,s,b,7,e
b7p,425,escaping_SB2P,s,b,7,p
b7a,426,escaping_SB3A,s,b,7,a
b8e,427,chewing_out_SB1E,s,b,8,e
b8p,428,chewing_out_SB2P,s,b,8,p
b8a,429,chewing_out_SB3A,s,b,8,a
b9e,430,fussing_over_SB1E,s,b,9,e
b9p,431,fussing_over_SB2P,s,b,9,p
b9a,432,fussing_over_SB3A,s,b,9,a
b10e,643,surprising_SB1E,s,b,10,e
b10p,644,surprising_SB2P,s,b,10,p
b10a,645,surprising_SB3A,s,b,10,a
b11e,646,jesting_with_SB1E,s,b,11,e
b11p,647,jesting_with_SB2P,s,b,11,p
b11a,648,jesting_with_SB3A,s,b,11,a
b12e,649,scolding_SB1E,s,b,12,e
b12p,650,scolding_SB2P,s,b,12,p
b12a,651,scolding_SB3A,s,b,12,a
b13e,652,interrupting_SB1E,s,b,13,e
b13p,653,interrupting_SB2P,s,b,13,p
b13a,654,interrupting_SB3A,s,b,13,a
b14e,865,comforting_SB1E,s,b,14,e
b14p,866,comforting_SB2P,s,b,14,p
b14a,867,comforting_SB3A,s,b,14,a
b15e,868,lusting_for_SB1E,s,b,15,e
b15p,869,lusting_for_SB2P,s,b,15,p
b15a,870,lusting_for_SB3A,s,b,15,a
b16e,871,slugging_SB1E,s,b,16,e
b16p,872,slugging_SB2P,s,b,16,p
b16a,873,slugging_SB3A,s,b,16,a
b17e,874,pinching_SB1E,s,b,17,e
b17p,875,pinching_SB2P,s,b,17,p
b17a,876,pinching_SB3A,s,b,17,a
b18e,1087,massaging_SB1E,s,b,18,e
b18p,1088,massaging_SB2P,s,b,18,p
b18a,1089,massaging_SB3A,s,b,18,a
b19e,1090,querying_SB1E,s,b,19,e
b19p,1091,querying_SB2P,s,b,19,p
b19a,1092,querying_SB3A,s,b,19,a
b20e,1093,confining_SB1E,s,b,20,e
b20p,1094,confining_SB2P,s,b,20,p
b20a,1095,confining_SB3A,s,b,20,a
b21e,1096,abandoning_SB1E,s,b,21,e
b21p,1097,abandoning_SB2P,s,b,21,p
b21a,1098,abandoning_SB3A,s,b,21,a
b22e,1306,coaching_SB1E,s,b,22,e
